CONDUCTING_EQUIPMENTID,CONNECTIVITY_NODEID,LINKED_EQUIPTYPE,GEOMETRY_COORDINATES,GEOMETRY_WKB
CAB_5003324:GS0626,-999999,UG_SWITCH_LOCATION,"{'type': 'Point', 'coordinates': [-118.1405091942, 34.0987536035]}",bytearray(b'\x01\x01\x00\x00\x00\x16xF\x1a\xfe\x88]\xc0\x84\xb2D\xf5\xa3\x0cA@')
54028343_293588A419B4EE34E0637F61810A7CE3,54028343,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1473706535, 34.1020468234]}",bytearray(b'\x01\x01\x00\x00\x00\rKR\x85n\x89]\xc0\xf4\x94\xcc\xde\x0f\rA@')
55295559_1658474E:55295556,55295559,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1440524672, 34.093395114]}","bytearray(b""\x01\x01\x00\x00\x00\x0e\xe2\xd6\'8\x89]\xc0<\x1e\x00_\xf4\x0bA@"")"
CAB_695331H:695331H,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.138614586, 34.1032839156]}",bytearray(b'\x01\x01\x00\x00\x00\x97g\xb6\x0f\xdf\x88]\xc08\xdaGh8\rA@')
28850E:BF02586,-999999,BRANCH_LINE_FUSE,"{'type': 'Point', 'coordinates': [-118.1461045386, 34.1014203777]}",bytearray(b'\x01\x01\x00\x00\x00c\xc5\xd9\xc6Y\x89]\xc0K\xaf\xcaW\xfb\x0cA@')
CAB_1430538E:1430538E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1290901315, 34.0993905748]}",bytearray(b'\x01\x01\x00\x00\x00\xd9AA\x03C\x88]\xc0\xf8%\x92\xd4\xb8\x0cA@')
CAB_1430546E:1430546E,-999999,OH_TRANSFORMER_LOCATION,"{'type': 'Point', 'coordinates': [-118.1266301629, 34.0997707858]}",bytearray(b'\x01\x01\x00\x00\x00\xee\x15f\xb5\x1a\x88]\xc0\xb9\r\x03J\xc5\x0cA@')
60681185_ST. CHARLES$MARGUERITA_RCS0693-6$RCS0693-6,60681185,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1445244114, 34.0921032432]}",bytearray(b'\x01\x01\x00\x00\x00\xf2\x1bQ\xe3?\x89]\xc0$\xb3\x00\n\xca\x0bA@')
4773776E:PS1516,-999999,OH_SWITCH,"{'type': 'Point', 'coordinates': [-118.1468195279, 34.1045535552]}",bytearray(b'\x01\x01\x00\x00\x00\xa9\xaf\xbb}e\x89]\xc0\xdc!\xca\x02b\rA@')
51230463_508347H$508628H,51230463,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1374900741, 34.0991505617]}",bytearray(b'\x01\x01\x00\x00\x00/\xf2*\xa3\xcc\x88]\xc0\xd6\xf01\xf7\xb0\x0cA@')
508349H:51229810,-999999,CUTOUT,"{'type': 'Point', 'coordinates': [-118.1374871654, 34.1000134513]}",bytearray(b'\x01\x01\x00\x00\x00\xd1\xc0\xf7\x96\xcc\x88]\xc0.?\xa3=\xcd\x0cA@')
5003324:GS0626-3,-999999,UG_SWITCH,"{'type': 'Point', 'coordinates': [-118.1402574646, 34.0988865786]}",bytearray(b'\x01\x01\x00\x00\x00\x85\xdeq\xfa\xf9\x88]\xc0\xd8\x8c\xbeP\xa8\x0cA@')
55295558_1658474E:55295556,55295558,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1440500084, 34.0934977644]}","bytearray(b'\x01\x01\x00\x00\x00B\xc4\x86\x1d8\x89]\xc0n,\x18\xbc\xf7\x0bA@')"
42997339_293588A514A1EE34E0637F61810A7CE3,42997339,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1339419116, 34.0981259329]}",bytearray(b'\x01\x01\x00\x00\x00\xb0x\x18\x81\x92\x88]\xc0\xf5X\xfcc\x8f\x0cA@')
51229841_CAB_508350H:508350H,51229841,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1374972112, 34.1008582761]}",bytearray(b'\x01\x01\x00\x00\x00KY\x1a\xc1\xcc\x88]\xc0\xb2\xb0\x8a\xec\xe8\x0cA@')
55295559s_293588A80675EE34E0637F61810A7CE3,55295559s,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1440524672, 34.093395114]}","bytearray(b""\x01\x01\x00\x00\x00\x0e\xe2\xd6\'8\x89]\xc0<\x1e\x00_\xf4\x0bA@"")"
174738651_174738669$GS0627-2,174738651,TERMINAL,"{'type': 'Point', 'coordinates': [-118.1322625195, 34.0997429348]}",bytearray(b'\x01\x01\x00\x00\x00M\xef6\xfdv\x88]\xc0\x8d|a`\xc4\x0cA@')
1430544E$ND43020751,-999999,OH_PRIMARY_CONDUCTOR,"{'type': 'LineString', 'coordinates': [[-118.1271547605, 34.1003392158], [-118.1270593068, 34.1003847582]]}",bytearray(b'\x01\x02\x00\x00\x00\x02\x00\x00\x005x\xb8M#\x88]\xc0\x03/Y\xea\xd7\x0cA@\xf1\xd6[\xbd!\x88]\xc01\xbebh\xd9\x0cA@')
