REGION_NAME,SYSTEM_ID,SYSTEM_NAME,ABANK_MRID,SBTRN_SUB_KEY,SBTRN_SUB_SECTION_NAME,SBTRN_SUB_ALIASNAME,SBTRN_SUB_TYPE,SBTRN_SUB_KEY,SUB_KEY,SUB_ID,SUB_NUM,SUB_NAME,SUB_LATITUDE,SUB_LONGITUDE,SUB_TYPE,SUB_PARENT_KEY,CIRCUIT_KEY,CIRCUIT_NAME,CIRCUIT_KV
ORANGE,57,ELLIS,B1C83FDA0C2695B9E053A140810ACB23,ABK_376_5086,SEC_A,ELLIS,A-BANK,ABK_376_5086,SUB_919_5805,919,5805,BAYSIDE,33.65697,-117.907051,S -- SUB-TRANSMISSION,,CKT_1733_14087,PIKE,12
NORTH COAST,35,SANTA CLARA,B1C74AB01D73D8C0E053A040810A12E1,ABK_318_5053,,SANTA CLARA,A-BANK,ABK_318_5053,SUB_1257_5291,1257,5291,WASTEWATER,34.141158,-119.184722,C -- CUSTOMER,,CKT_1982_21074,FILTER,16
METRO WEST,27,LA CIENEGA,B1C74AB01D6AD8C0E053A040810A12E1,ABK_303_5024,,LA CIENEGA,A-BANK,ABK_303_5024,SUB_514_5242,514,5242,COLORADO,34.025681,-118.47221,S -- SUB-TRANSMISSION,,CKT_2939_03220,CEDAR,4
ORANGE,58,OLINDA,B1C74AB01D88D8C0E053A040810A12E1,ABK_378_5087,,OLINDA,A-BANK,ABK_378_5087,SUB_1028_8802,1028,8802,BREA,33.920044,-117.848029,S -- SUB-TRANSMISSION,,CKT_738_00041,ACAPULCO,12
METRO WEST,26,EL NIDO,B1C74AB01D69D8C0E053A040810A12E1,ABK_301_5023,,EL NIDO,A-BANK,ABK_301_5023,SUB_517_5244,517,5244,FELTON,33.915852,-118.361436,S -- SUB-TRANSMISSION,SUB_516_5244,CKT_2995_09370,JUDAH,4
RURALS,31,EAGLE MOUNTAIN,B1C74AB01D59D8C0E053A040810A12E1,ABK_2220_5040,,EAGLE MOUNTAIN,A-BANK,ABK_2220_5040,SUB_1637_8113,1637,8113,BLYTHE CITY,33.606283,-114.59988,D -- DISTRIBUTION,SUB_228_8048,CKT_3504_05632,ELHERS,4.8
ORANGE,54,VIEJO,B1C83FDA099995B9E053A140810ACB23,ABK_1014_5083,,VIEJO,A-BANK,ABK_1014_5083,SUB_1027_8810,1027,8810,ONEILL,33.642941,-117.605706,S -- SUB-TRANSMISSION,,CKT_4179_01971,BORCHERS,12
SAN JACINTO VALLEY,46,VALLEY,B1C83FDA0C2395B9E053A140810ACB23,ABK_350_5070,SEC_G,VALLEY,A-BANK,ABK_350_5070,SUB_1836_8347,1836,8347,PECHANGA,33.491006,-117.06388,S -- SUB-TRANSMISSION,,CKT_359_11335,MATERA,12
METRO WEST,55,CENTER,B1C74AB01D86D8C0E053A040810A12E1,ABK_369_5084,SEC_B,CENTER,A-BANK,ABK_369_5084,SUB_999_5886,999,5886,PIONEER,33.915515,-118.08127,S -- SUB-TRANSMISSION,,CKT_471_03731,CODY,12
DESERT,41,VISTA,B1C74AB01D78D8C0E053A040810A12E1,ABK_334_5064,,VISTA 115,A-BANK,ABK_334_5064,SUB_1809_8094,1809,8094,ARROWHEAD,34.283354,-117.216292,S -- SUB-TRANSMISSION,SUB_1808_8094,CKT_110_16839,SQUINT,12
NORTH COAST,34,ANTELOPE,B1C74AB01D72D8C0E053A040810A12E1,ABK_317_5052,,ANTELOPE,A-BANK,ABK_317_5052,SUB_584_5522,584,5522,SHUTTLE,34.642747,-118.16475,D -- DISTRIBUTION,,CKT_1347_18505,VADAR,12
NORTH COAST,36,GOLETA,B1C74AB01D74D8C0E053A040810A12E1,ABK_321_5055,,GOLETA,A-BANK,ABK_321_5055,SUB_704_5570,704,5570,VEGAS,34.449131,-119.815886,S -- SUB-TRANSMISSION,,CKT_717_17605,TECOLOTE,16
METRO EAST,21,RIO HONDO,B1C83FDA093795B9E053A140810ACB23,ABK_287_5013,,RIO HONDO,A-BANK,ABK_287_5013,SUB_436_5167,436,5167,MAYFLOWER,34.118401,-118.008038,D -- DISTRIBUTION,SUB_286_5013,CKT_2036_00802,ASHMONT,4
ORANGE,53,VILLA PARK,B1C74AB01D85D8C0E053A040810A12E1,ABK_368_5082,,VILLA PARK,A-BANK,ABK_368_5082,SUB_947_5835,947,5835,LA VETA,33.766788,-117.852243,S -- SUB-TRANSMISSION,,CKT_816_17754,THELMA,12
METRO WEST,27,LA CIENEGA,B1C74AB01D6AD8C0E053A040810A12E1,ABK_303_5024,,LA CIENEGA,A-BANK,ABK_303_5024,SUB_513_5242,513,5242,COLORADO,34.025681,-118.47221,S -- SUB-TRANSMISSION,,CKT_5325_04561,CYRUS,16
