Circuit Name,Substation Name,Date Last Update,Plan Year,System Name,A-bank,Circuit Available Load Capacity 2024,Circuit Available Load Capacity 2025,Circuit Available Load Capacity 2026,Circuit Available Load Capacity 2027,Circuit Available Load Capacity 2028,Substation Available Load Capacity 2024,Substation Available Load Capacity 2025,Substation Available Load Capacity 2026,Substation Available Load Capacity 2027,Substation Available Load Capacity 2028,A-bank Available Load Capacity 2024,A-bank Available Load Capacity 2025,A-bank Available Load Capacity 2026,A-bank Available Load Capacity 2027,A-bank Available Load Capacity 2028,circuit_voltage,org_alc_year1,org_alc_year2,org_alc_year3,org_alc_year4,org_alc_year5,ckt_capacity_y1,ckt_capacity_y2,ckt_capacity_y3,ckt_capacity_y4,ckt_capacity_y5,subst_capacity_y1,subst_capacity_y2,subst_capacity_y3,subst_capacity_y4,subst_capacity_y5,subst_org_alc_year1,subst_org_alc_year2,subst_org_alc_year3,subst_org_alc_year4,subst_org_alc_year5,Subtrans,subtrans_alc_year1,subtrans_alc_year2,subtrans_alc_year3,subtrans_alc_year4,subtrans_alc_year5,y1ckt_f,y2ckt_f,y3ckt_f,y4ckt_f,y5ckt_f,y1sub_f,y2sub_f,y3sub_f,y4sub_f,y5sub_f,y1subt_f,y2subt_f,y3subt_f,y4subt_f,y5subt_f,y1abank_f,y2abank_f,y3abank_f,y4abank_f,y5abank_f,y1ckt_sub_f,y2ckt_sub_f,y3ckt_sub_f,y4ckt_sub_f,y5ckt_sub_f,y1ckt_subt_f,y2ckt_subt_f,y3ckt_subt_f,y4ckt_subt_f,y5ckt_subt_f,y1ckt_abank_f,y2ckt_abank_f,y3ckt_abank_f,y4ckt_abank_f,y5ckt_abank_f,y1sub_subt_f,y2sub_subt_f,y3sub_subt_f,y4sub_subt_f,y5sub_subt_f,y1sub_abank_f,y2sub_abank_f,y3sub_abank_f,y4sub_abank_f,y5sub_abank_f,y1subt_abank_f,y2subt_abank_f,y3subt_abank_f,y4subt_abank_f,y5subt_abank_f,y1ckt_sub_subt_f,y2ckt_sub_subt_f,y3ckt_sub_subt_f,y4ckt_sub_subt_f,y5ckt_sub_subt_f, ,y2ckt_sub_abank_f,y3ckt_sub_abank_f,y4ckt_sub_abank_f,y5ckt_sub_abank_f,y1ckt_subt_abank_f,y2ckt_subt_abank_f,y3ckt_subt_abank_f,y4ckt_subt_abank_f,y5ckt_subt_abank_f,y1sub_subt_abank_f,y2sub_subt_abank_f,y3sub_subt_abank_f,y4sub_subt_abank_f,y5sub_subt_abank_f,y1ckt_sub_subt_abank_f,y2ckt_sub_subt_abank_f,y3ckt_sub_subt_abank_f,y4ckt_sub_subt_abank_f,y5ckt_sub_subt_abank_f,Identifier,Duct Bank Circuit - Grid Constraint,Transmission- Grid Constraint,OBJECTID,SHAPE__Length
Orchid,Rolling Hills 66/4 kV,02/24/2026,2025,La Fresa 220/66,La Fresa 'B' 220/66,0.9,0.8,0.8,0.7,0.7,9.000000,2.000000,1.800000,1.600000,1.300000,131.73,121.91,120.47,118.56,117.18,4.16,N/A,N/A,N/A,N/A,N/A,0.9,0.8,0.8,0.7,0.7,9,2,1.8,1.6,1.3,N/A,N/A,N/A,N/A,N/A,Rolling Hills 66/4 Kv,,,,,,0.9,0.8,0.8,0.7,0.7,9,2,1.8,1.6,1.3,,,,,,131.73,121.91,120.47,118.56,117.18,0.9,0.8,0.8,0.7,0.7,,,,,,0.9,0.8,0.8,0.7,0.7,,,,,,9,2,1.8,1.6,1.3,,,,,,,,,,,0.900000,0.8,0.8,0.7,0.7,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366115,36130.435419
Ditch,Gonzales 66/16 kV,02/24/2026,2025,Santa Clara 220/66,Santa Clara 220/66,5.2503,3.6503,3.8503,3.7503,3.7503,84.993500,21.977900,23.890500,28.086800,34.318800,0,0,0,0,0,16,N/A,N/A,N/A,N/A,N/A,5.2503,3.6503,3.8503,3.7503,3.7503,84.9935,21.9779,23.8905,28.0868,34.3188,N/A,N/A,N/A,N/A,N/A,Gonzales 66/16 Kv,,,,,,5.2503,3.6503,3.8503,3.7503,3.7503,84.9935,21.9779,23.8905,28.0868,34.3188,,,,,,0,0,0,0,0,5.2503,3.6503,3.8503,3.7503,3.7503,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366116,134290.643141
Cordon,Archline 66/12 kV,02/24/2026,2025,Etiwanda 220/66,Etiwanda 'W' 220/66,1,1.1,1,1,1,100.800000,0.882300,0.765000,0.647900,15.330800,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,1,1.1,1,1,1,100.8,0.8823,0.765,0.6479,15.3308,N/A,N/A,N/A,N/A,N/A,Archline 66/12 Kv,,,,,,1,1.1,1,1,1,100.8,0.8823,0.765,0.6479,15.3308,,,,,,0,0,0,0,0,1,0.8823,0.765,0.6479,1,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,Yes,No,366117,83519.214998
Fogcutter,Chiquita 66/12 kV,02/24/2026,2025,Viejo 220/66,Viejo 220/66,1.5,1.5,1.5,1.4,1.4,104.000000,1.100000,0.600000,3.000000,1.900000,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,1.5,1.5,1.5,1.4,1.4,104,1.1,0.6,3,1.9,N/A,N/A,N/A,N/A,N/A,Chiquita 66/12 Kv,,,,,,1.5,1.5,1.5,1.4,1.4,104,1.1,0.6,3,1.9,,,,,,0,0,0,0,0,1.5,1.1,0.6,1.4,1.4,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,Yes,No,366118,85782.794795
Deloro,Apple Valley 115/12 kV,02/24/2026,2025,Victor 220/115,Victor 220/115,1.3,1.3,1.2,1.2,3.2,85.356600,19.811400,21.771200,24.317000,26.868400,200.2,110.46,145.66,124.91,169.77,12,N/A,N/A,N/A,N/A,N/A,1.3,1.3,1.2,1.2,3.2,85.3566,19.8114,21.7712,24.317,26.8684,N/A,N/A,N/A,N/A,N/A,Apple Valley 115/12 Kv,,,,,,1.3,1.3,1.2,1.2,3.2,85.3566,19.8114,21.7712,24.317,26.8684,,,,,,200.2,110.46,145.66,124.91,169.77,1.3,1.3,1.2,1.2,3.2,,,,,,1.3,1.3,1.2,1.2,3.2,,,,,,85.3566,19.8114,21.7712,24.317,26.8684,,,,,,,,,,,1.300000,1.3,1.2,1.2,3.2,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366119,184899.206870
Brahma,Bovine 66/12 kV,02/24/2026,2025,Del Amo 220/66,Del Amo 'C'  220/66,1.4,1.3,1.3,1.2,1.1,54.000000,5.200000,5.200000,5.200000,4.800000,0,0.9,0,3.52,3.22,12,N/A,N/A,N/A,N/A,N/A,1.4,1.3,1.3,1.2,1.1,54,5.2,5.2,5.2,4.8,N/A,N/A,N/A,N/A,N/A,Bovine 66/12 Kv,,,,,,1.4,1.3,1.3,1.2,1.1,54,5.2,5.2,5.2,4.8,,,,,,0,0.9,0,3.52,3.22,1.4,1.3,1.3,1.2,1.1,,,,,,0,0.9,0,1.2,1.1,,,,,,0,0.9,0,3.52,3.22,,,,,,,,,,,0.000000,0.9,0,1.2,1.1,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366120,79233.677613
Cassini,Gisler 66/12 kV,02/24/2026,2025,Ellis 'C' 220/66,Ellis 'C' 220/66,9.1634,9.1634,9.1634,9.2634,9.2634,100.283200,0.339200,3.748900,13.448200,51.003000,262.44,249.94,244.6,247.71,245.63,12,N/A,N/A,N/A,N/A,N/A,9.1634,9.1634,9.1634,9.2634,9.2634,100.2832,0.3392,3.7489,13.4482,51.003,N/A,N/A,N/A,N/A,N/A,Gisler 66/12 Kv,,,,,,9.1634,9.1634,9.1634,9.2634,9.2634,100.2832,0.3392,3.7489,13.4482,51.003,,,,,,262.44,249.94,244.6,247.71,245.63,9.1634,0.3392,3.7489,9.2634,9.2634,,,,,,9.1634,9.1634,9.1634,9.2634,9.2634,,,,,,100.2832,0.3392,3.7489,13.4482,51.003,,,,,,,,,,,9.163400,0.3392,3.7489,9.2634,9.2634,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366121,33529.989660
Apex,Laguna Bell 66/16 kV,02/24/2026,2025,Laguna Bell Ab 220/66,Laguna Bell 'Ab' 220/66,7.8607,7.8607,7.8607,7.8607,7.9607,61.751500,15.636600,23.480200,32.709300,73.768700,200.51,196.96,188.11,162.43,131.46,16,N/A,N/A,N/A,N/A,N/A,7.8607,7.8607,7.8607,7.8607,7.9607,61.7515,15.6366,23.4802,32.7093,73.7687,N/A,N/A,N/A,N/A,N/A,Laguna Bell 66/16 Kv,,,,,,7.8607,7.8607,7.8607,7.8607,7.9607,61.7515,15.6366,23.4802,32.7093,73.7687,,,,,,200.51,196.96,188.11,162.43,131.46,7.8607,7.8607,7.8607,7.8607,7.9607,,,,,,7.8607,7.8607,7.8607,7.8607,7.9607,,,,,,61.7515,15.6366,23.4802,32.7093,73.7687,,,,,,,,,,,7.860700,7.8607,7.8607,7.8607,7.9607,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366122,22673.945603
American,Riverway 66/12 kV,02/24/2026,2025,Rector 220/66,Rector 220/66,0.6819,0.7819,3.3819,3.3819,3.3819,56.000000,6.600000,7.400000,6.200000,5.400000,37,133.63,130.87,130.17,129.64,12,N/A,N/A,N/A,N/A,N/A,0.6819,0.7819,3.3819,3.3819,3.3819,56,6.6,7.4,6.2,5.4,N/A,N/A,N/A,N/A,N/A,Riverway 66/12 Kv,,,,,,0.6819,0.7819,3.3819,3.3819,3.3819,56,6.6,7.4,6.2,5.4,,,,,,37,133.63,130.87,130.17,129.64,0.6819,0.7819,3.3819,3.3819,3.3819,,,,,,0.6819,0.7819,3.3819,3.3819,3.3819,,,,,,37,6.6,7.4,6.2,5.4,,,,,,,,,,,0.681900,0.7819,3.3819,3.3819,3.3819,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,Yes,No,366123,121186.500961
Hirsch,Brookhurst 66/12 kV,02/24/2026,2025,Ellis 'C' 220/66,Ellis 'C' 220/66,2,2,1.9,1.8,1.7,40.000000,0.000000,0.000000,0.000000,14.200000,262.44,249.94,244.6,247.71,245.63,12,N/A,N/A,N/A,N/A,N/A,2,2,1.9,1.8,1.7,40,0,0,0,14.2,N/A,N/A,N/A,N/A,N/A,Brookhurst 66/12 Kv,,,,,,2,2,1.9,1.8,1.7,40,0,0,0,14.2,,,,,,262.44,249.94,244.6,247.71,245.63,2,0,0,0,1.7,,,,,,2,2,1.9,1.8,1.7,,,,,,40,0,0,0,14.2,,,,,,,,,,,2.000000,0,0,0,1.7,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366124,115352.204961
